81705,CAP4770,Introduction to Data Mining,Antonio Hernandez,Fully Online
85287,CAP5510,Introduction to Bioinformatics,Giri Narasimhan,In Person
88114,CAP5602,Introduction to Artificial Intelligence,Mark Finlayson,In Person
85282,CAP5602,Introduction to Artificial Intelligence,Mark Finlayson,In Person
85280,CAP5610,Introduction to Machine Learning,Miguel Alonso,Hybrid Courses
81649,CAP5768,Introduction to Data Science,Giri Narasimhan,In Person
81661,CAP5768,Introduction to Data Science,Giri Narasimhan,In Person
87368,CAP5771,Principles of Data Mining,Miguel Alonso,Fully Online
85285,CAP6736,Geometric Modeling and Shape Analysis,Wei Zeng,In Person
87261,CAP6778,Advanced Topics in Data Mining,Ananda Mondal,In Person
81668,CDA3103,Fundamentals of Computer Systems,Masoud Milani,Fully Online
82192,CDA3103,Fundamentals of Computer Systems,Trevor Cickovski,In Person
82405,CDA3103,Fundamentals of Computer Systems,Trevor Cickovski,In Person
87285,CDA3103,Fundamentals of Computer Systems,Fahad Saeed,In Person
82359,CDA3103,Fundamentals of Computer Systems,Carlos Cabrera,Hybrid Courses
85495,CDA4101,Structured Computer Organization,Farzana Rahman,Fully Online
82020,CDA4101,Structured Computer Organization,Trevor Cickovski,In Person
82334,CDA4101,Structured Computer Organization,Trevor Cickovski,In Person
82360,CDA4101,Structured Computer Organization,Nagarajan Prabakar,In Person
82400,CEN3721,Introduction to Human-Computer Interaction,Debra Davis,Fully Online
82228,CEN3721,Introduction to Human-Computer Interaction,Patricia Mcdermott-wells,Hybrid Courses
82229,CEN3721,Introduction to Human-Computer Interaction,Patricia Mcdermott-wells,Hybrid Courses
82480,CEN3721,Introduction to Human-Computer Interaction,Debra Davis,Hybrid Courses
81666,CEN4010,Software Engineering I,Alejandro Roque,Fully Online
82416,CEN4010,Software Engineering I,Monique Ross,In Person
82345,CEN4021,Software Eng II,Lenis Hernandez,In Person
82157,CEN4072,Fundamentals of Software Testing,Peter Clarke,In Person
85279,CEN4083,Introduction to Cloud Computing,Jun Li,In Person
81717,CEN5011,Advanced Software Engineering,Seyedmasoud Sadjadi,CD/Videotape Sessions
82369,CEN5011,Advanced Software Engineering,Seyedmasoud Sadjadi,In Person
82021,CEN5011,Advanced Software Engineering,Seyedmasoud Sadjadi,In Person
81716,CEN5079,Secure Application Programming,Bogdan O.p. Carbunar,CD/Videotape Sessions
88115,CEN5079,Secure Application Programming,Bogdan O.p. Carbunar,In Person
81699,CEN5079,Secure Application Programming,Bogdan O.p. Carbunar,In Person
82413,CEN5087,Software and Data Modeling,Xudong He,In Person
82272,CEN5087,Software and Data Modeling,Xudong He,In Person
81672,CGS1920,Introduction to Computing,Tiana Solis,Fully Online
88368,CGS1920,Introduction to Computing,Tiana Solis,Fully Online
81996,CGS1920,Introduction to Computing,Juan Caraballo,In Person
